time,Dilution,c_r value,species,f_r,phi_R0max,abundance
0,10,100,0,0.01,0.001,1.1111111111111112e-05
0,10,100,1,0.01,0.004379310344827586,1.1111111111111112e-05
0,10,100,2,0.01,0.007758620689655172,1.1111111111111112e-05
0,10,100,3,0.01,0.011137931034482757,1.1111111111111112e-05
0,10,100,4,0.01,0.014517241379310344,1.1111111111111112e-05
0,10,100,5,0.01,0.01789655172413793,1.1111111111111112e-05
0,10,100,6,0.01,0.021275862068965517,1.1111111111111112e-05
0,10,100,7,0.01,0.024655172413793103,1.1111111111111112e-05
0,10,100,8,0.01,0.02803448275862069,1.1111111111111112e-05
0,10,100,9,0.01,0.03141379310344827,1.1111111111111112e-05
0,10,100,10,0.01,0.03479310344827586,1.1111111111111112e-05
0,10,100,11,0.01,0.038172413793103446,1.1111111111111112e-05
0,10,100,12,0.01,0.04155172413793103,1.1111111111111112e-05
0,10,100,13,0.01,0.04493103448275862,1.1111111111111112e-05
0,10,100,14,0.01,0.048310344827586206,1.1111111111111112e-05
0,10,100,15,0.01,0.05168965517241379,1.1111111111111112e-05
0,10,100,16,0.01,0.05506896551724138,1.1111111111111112e-05
0,10,100,17,0.01,0.058448275862068966,1.1111111111111112e-05
0,10,100,18,0.01,0.06182758620689655,1.1111111111111112e-05
0,10,100,19,0.01,0.06520689655172414,1.1111111111111112e-05
0,10,100,20,0.01,0.06858620689655172,1.1111111111111112e-05
0,10,100,21,0.01,0.07196551724137931,1.1111111111111112e-05
0,10,100,22,0.01,0.07534482758620689,1.1111111111111112e-05
0,10,100,23,0.01,0.07872413793103449,1.1111111111111112e-05
0,10,100,24,0.01,0.08210344827586206,1.1111111111111112e-05
0,10,100,25,0.01,0.08548275862068966,1.1111111111111112e-05
0,10,100,26,0.01,0.08886206896551724,1.1111111111111112e-05
0,10,100,27,0.01,0.09224137931034483,1.1111111111111112e-05
0,10,100,28,0.01,0.09562068965517241,1.1111111111111112e-05
0,10,100,29,0.01,0.099,1.1111111111111112e-05
0,10,100,30,0.04379310344827586,0.001,1.1111111111111112e-05
0,10,100,31,0.04379310344827586,0.004379310344827586,1.1111111111111112e-05
0,10,100,32,0.04379310344827586,0.007758620689655172,1.1111111111111112e-05
0,10,100,33,0.04379310344827586,0.011137931034482757,1.1111111111111112e-05
0,10,100,34,0.04379310344827586,0.014517241379310344,1.1111111111111112e-05
0,10,100,35,0.04379310344827586,0.01789655172413793,1.1111111111111112e-05
0,10,100,36,0.04379310344827586,0.021275862068965517,1.1111111111111112e-05
0,10,100,37,0.04379310344827586,0.024655172413793103,1.1111111111111112e-05
0,10,100,38,0.04379310344827586,0.02803448275862069,1.1111111111111112e-05
0,10,100,39,0.04379310344827586,0.03141379310344827,1.1111111111111112e-05
0,10,100,40,0.04379310344827586,0.03479310344827586,1.1111111111111112e-05
0,10,100,41,0.04379310344827586,0.038172413793103446,1.1111111111111112e-05
0,10,100,42,0.04379310344827586,0.04155172413793103,1.1111111111111112e-05
0,10,100,43,0.04379310344827586,0.04493103448275862,1.1111111111111112e-05
0,10,100,44,0.04379310344827586,0.048310344827586206,1.1111111111111112e-05
0,10,100,45,0.04379310344827586,0.05168965517241379,1.1111111111111112e-05
0,10,100,46,0.04379310344827586,0.05506896551724138,1.1111111111111112e-05
0,10,100,47,0.04379310344827586,0.058448275862068966,1.1111111111111112e-05
0,10,100,48,0.04379310344827586,0.06182758620689655,1.1111111111111112e-05
0,10,100,49,0.04379310344827586,0.06520689655172414,1.1111111111111112e-05
0,10,100,50,0.04379310344827586,0.06858620689655172,1.1111111111111112e-05
0,10,100,51,0.04379310344827586,0.07196551724137931,1.1111111111111112e-05
0,10,100,52,0.04379310344827586,0.07534482758620689,1.1111111111111112e-05
0,10,100,53,0.04379310344827586,0.07872413793103449,1.1111111111111112e-05
0,10,100,54,0.04379310344827586,0.08210344827586206,1.1111111111111112e-05
0,10,100,55,0.04379310344827586,0.08548275862068966,1.1111111111111112e-05
0,10,100,56,0.04379310344827586,0.08886206896551724,1.1111111111111112e-05
0,10,100,57,0.04379310344827586,0.09224137931034483,1.1111111111111112e-05
0,10,100,58,0.04379310344827586,0.09562068965517241,1.1111111111111112e-05
0,10,100,59,0.04379310344827586,0.099,1.1111111111111112e-05
0,10,100,60,0.07758620689655171,0.001,1.1111111111111112e-05
0,10,100,61,0.07758620689655171,0.004379310344827586,1.1111111111111112e-05
0,10,100,62,0.07758620689655171,0.007758620689655172,1.1111111111111112e-05
0,10,100,63,0.07758620689655171,0.011137931034482757,1.1111111111111112e-05
0,10,100,64,0.07758620689655171,0.014517241379310344,1.1111111111111112e-05
0,10,100,65,0.07758620689655171,0.01789655172413793,1.1111111111111112e-05
0,10,100,66,0.07758620689655171,0.021275862068965517,1.1111111111111112e-05
0,10,100,67,0.07758620689655171,0.024655172413793103,1.1111111111111112e-05
0,10,100,68,0.07758620689655171,0.02803448275862069,1.1111111111111112e-05
0,10,100,69,0.07758620689655171,0.03141379310344827,1.1111111111111112e-05
0,10,100,70,0.07758620689655171,0.03479310344827586,1.1111111111111112e-05
0,10,100,71,0.07758620689655171,0.038172413793103446,1.1111111111111112e-05
